iter	RMSE
0	2224.68668
1	2192.949177
2	2174.415467
3	2152.104044
4	2124.43474
5	2103.983345
6	2083.783104
7	2064.745464
8	2049.698906
9	2036.676512
10	2017.380985
11	1999.650149
12	1981.655995
13	1962.260785
14	1950.104793
15	1933.869663
16	1919.263881
17	1910.373814
18	1897.842868
19	1891.219283
20	1882.876662
21	1872.157093
22	1866.454574
23	1855.864674
24	1844.997098
25	1836.488297
26	1827.544607
27	1819.464638
28	1813.409292
29	1802.782574
30	1797.598754
31	1794.317713
32	1783.59072
33	1777.010572
34	1769.323889
35	1762.569378
36	1753.696988
37	1749.502332
38	1740.848549
39	1732.730547
40	1724.95257
41	1719.188079
42	1714.771127
43	1712.675031
44	1710.413245
45	1706.368748
46	1699.664237
47	1693.702468
48	1690.107178
49	1684.511617
50	1680.973341
51	1678.312586
52	1676.208183
53	1671.692794
54	1669.271041
55	1664.342162
56	1662.024933
57	1659.449488
58	1657.808815
59	1651.349836
60	1645.679207
61	1643.451304
62	1638.108936
63	1634.737587
64	1628.197219
65	1626.340743
66	1622.658546
67	1618.444988
68	1617.006565
69	1611.745736
70	1609.017766
71	1607.22991
72	1605.72997
73	1602.562504
74	1597.681487
75	1596.351444
76	1592.676085
77	1587.920382
78	1585.936704
79	1584.765975
80	1581.707304
81	1578.085089
82	1575.920913
83	1574.059101
84	1571.057023
85	1568.677145
86	1567.487833
87	1565.689901
88	1564.444645
89	1562.109442
90	1559.403736
91	1555.984113
92	1554.208285
93	1551.99943
94	1549.622486
95	1546.922297
96	1544.524109
97	1541.867
98	1540.028219
99	1536.665036
100	1533.654082
101	1531.461114
102	1528.928013
103	1527.258658
104	1524.949215
105	1523.524654
106	1520.522993
107	1518.765622
108	1514.840054
109	1514.201932
110	1513.024761
111	1510.771552
112	1509.265108
113	1508.12516
114	1507.345069
115	1504.985205
116	1503.710866
117	1502.07709
118	1500.571795
119	1497.028469
120	1496.422018
121	1495.223192
122	1492.817802
123	1489.560523
124	1487.602596
125	1484.043933
126	1481.83661
127	1480.668228
128	1478.147022
129	1475.94186
130	1472.248969
131	1470.767006
132	1468.659186
133	1467.108287
134	1462.462865
135	1461.084042
136	1460.039421
137	1456.875137
138	1456.442155
139	1455.704951
140	1455.105962
141	1453.782443
142	1452.70726
143	1452.015537
144	1450.489502
145	1448.351177
146	1447.631467
147	1445.093386
148	1444.422769
149	1442.918692
150	1442.221319
151	1441.644651
152	1439.287562
153	1436.804703
154	1436.117046
155	1432.919515
156	1432.294246
157	1430.469674
158	1426.661859
159	1425.038562
160	1424.488151
161	1419.174004
162	1417.7515
163	1415.493596
164	1414.029892
165	1410.963745
166	1409.78877
167	1408.019694
168	1407.296781
169	1404.931803
170	1404.009497
171	1402.571789
172	1402.161581
173	1399.99649
174	1399.001943
175	1398.473785
176	1397.789037
177	1394.413704
178	1392.201641
179	1391.763701
180	1389.16725
181	1387.787044
182	1385.96352
183	1383.580127
184	1381.384646
185	1380.307732
186	1379.836854
187	1379.188634
188	1376.864575
189	1376.146297
190	1375.348131
191	1372.527828
192	1370.454706
193	1368.446378
194	1368.089481
195	1366.060183
196	1363.840027
197	1363.261083
198	1360.322952
199	1357.956239
200	1354.150598
201	1350.989228
202	1348.478926
203	1346.888624
204	1346.053209
205	1345.751433
206	1344.949464
207	1342.451657
208	1337.482462
209	1334.50166
210	1333.089712
211	1332.168203
212	1329.398739
213	1329.132824
214	1328.149397
215	1326.072819
216	1323.625933
217	1322.954531
218	1322.661383
219	1319.941597
220	1317.354345
221	1315.863871
222	1314.289549
223	1313.959671
224	1310.486183
225	1309.66825
226	1307.821625
227	1305.7506
228	1305.331865
229	1304.140988
230	1301.950697
231	1299.830035
232	1299.40174
233	1299.06671
234	1297.52549
235	1294.261162
236	1291.850228
237	1291.545058
238	1290.505757
239	1288.640893
240	1286.286423
241	1284.018628
242	1283.231821
243	1280.582183
244	1277.987367
245	1277.208498
246	1275.031118
247	1274.155882
248	1270.66083
249	1267.46974
250	1266.564326
251	1263.897228
252	1262.415074
253	1259.961576
254	1259.49475
255	1258.287326
256	1256.274562
257	1254.676665
258	1252.169392
259	1249.295393
260	1246.500217
261	1244.142932
262	1243.489512
263	1241.792091
264	1240.739968
265	1240.538389
266	1240.222724
267	1237.518155
268	1235.621611
269	1233.81878
270	1232.150304
271	1230.63965
272	1229.512314
273	1226.116074
274	1223.24978
275	1221.295885
276	1221.058935
277	1218.874297
278	1218.169284
279	1216.087389
280	1214.278749
281	1213.588928
282	1212.162658
283	1210.931002
284	1210.528419
285	1209.770144
286	1209.165256
287	1208.203941
288	1207.586731
289	1205.105503
290	1204.358232
291	1203.981926
292	1200.647919
293	1199.480491
294	1196.853147
295	1195.172104
296	1193.67161
297	1192.331439
298	1191.883711
299	1190.631771
