iter	Passed	Remaining
0	0	187
1	1	173
2	1	181
3	2	176
4	2	174
5	3	174
6	4	169
7	4	169
8	5	166
9	5	167
10	6	167
11	7	181
12	8	179
13	8	177
14	9	177
15	9	177
16	10	176
17	11	176
18	11	176
19	12	176
20	13	174
21	13	173
22	14	173
23	14	172
24	15	173
25	16	173
26	17	173
27	17	172
28	18	172
29	19	171
30	19	170
31	20	169
32	20	169
33	21	168
34	22	168
35	22	167
36	23	166
37	24	166
38	24	165
39	25	164
40	25	163
41	26	163
42	27	162
43	27	161
44	28	160
45	29	160
46	30	164
47	31	163
48	31	162
49	32	162
50	32	160
51	33	160
52	34	159
53	34	158
54	35	158
55	36	157
56	36	156
57	37	156
58	38	155
59	38	155
60	39	154
61	40	153
62	40	152
63	41	152
64	41	151
65	42	150
66	43	152
67	44	151
68	44	150
69	45	149
70	46	148
71	46	147
72	47	146
73	47	146
74	48	145
75	49	145
76	49	144
77	50	143
78	51	143
79	51	142
80	52	141
81	53	141
82	53	140
83	54	139
84	54	138
85	55	138
86	56	137
87	56	137
88	57	136
89	58	135
90	58	135
91	59	134
92	60	133
93	61	134
94	61	133
95	62	133
96	63	132
97	63	131
98	64	130
99	65	130
100	65	129
101	66	128
102	66	127
103	67	127
104	68	126
105	68	125
106	69	125
107	69	124
108	70	123
109	71	123
110	72	123
111	73	122
112	73	121
113	74	121
114	74	120
115	75	119
116	76	119
117	76	118
118	77	117
119	78	117
120	78	116
121	79	115
122	80	115
123	80	114
124	81	113
125	81	113
126	82	112
127	83	111
128	84	111
129	85	111
130	85	110
131	86	109
132	86	109
133	87	108
134	88	107
135	88	107
136	89	106
137	90	106
138	91	105
139	91	105
140	92	104
141	93	103
142	93	102
143	94	102
144	95	101
145	95	100
146	96	100
147	96	99
148	97	98
149	98	98
150	98	97
151	99	96
152	99	96
153	100	95
154	101	94
155	102	94
156	102	93
157	103	92
158	103	92
159	104	91
160	105	90
161	105	90
162	106	89
163	107	88
164	107	88
165	108	87
166	109	86
167	109	86
168	110	85
169	110	84
170	111	84
171	112	83
172	112	82
173	113	82
174	114	81
175	114	80
176	115	80
177	116	79
178	116	78
179	117	78
180	118	77
181	118	76
182	119	76
183	119	75
184	120	74
185	121	74
186	121	73
187	122	72
188	122	72
189	123	71
190	124	70
191	124	70
192	125	69
193	125	68
194	126	68
195	127	67
196	127	66
197	128	66
198	129	65
199	129	64
200	130	64
201	131	63
202	131	62
203	132	62
204	133	61
205	133	61
206	134	60
207	135	59
208	135	59
209	136	58
210	137	57
211	137	57
212	138	56
213	139	55
214	139	55
215	140	54
216	140	53
217	141	53
218	142	52
219	142	51
220	143	51
221	144	50
222	144	49
223	145	49
224	145	48
225	147	48
226	148	47
227	148	47
228	149	46
229	150	45
230	151	45
231	151	44
232	152	43
233	153	43
234	153	42
235	154	41
236	154	41
237	155	40
238	156	40
239	157	39
240	158	38
241	158	37
242	159	37
243	159	36
244	160	35
245	160	35
246	161	34
247	162	34
248	162	33
249	163	32
250	164	32
251	164	31
252	165	30
253	166	30
254	166	29
255	167	28
256	167	28
257	168	27
258	168	26
259	169	26
260	170	25
261	170	24
262	171	24
263	172	23
264	173	22
265	173	22
266	175	21
267	175	20
268	176	20
269	177	19
270	178	19
271	178	18
272	179	17
273	180	17
274	181	16
275	182	15
276	183	15
277	183	14
278	185	13
279	185	13
280	186	12
281	187	11
282	187	11
283	188	10
284	188	9
285	189	9
286	190	8
287	190	7
288	191	7
289	191	6
290	192	5
291	193	5
292	193	4
293	194	3
294	194	3
295	195	2
296	196	1
297	196	1
298	197	0
299	198	0
